ts_code,symbol,name,ShiZhi,industry_1,industry_3,industry_4,area,close,market,NTpye9,NTpye8,NTpye7,NTpye6,list_date,act_name,act_ent_type,NTpye1,NTpye2,NTpye3,NTpye4,NTpye5,CY_FaZhanQS,CY_JiShuXJ,CY_ChanPinGQ,NTpye10
000001.SZ,000001,平安银行,大盘股,金融,商业银行,综合性银行,深圳,11.01,主板,火山口 派出小部队勇吃鱼身,-,-,-,1991/4/3,无实际控制人,其他,β高股息低波动 适合防御,行情酝酿中,大金融,-,-,行业成熟稳定,传统行业,-,-
000002.SZ,000002,万科Ａ,大盘股,NA,NA,NA,深圳,3.96,主板,火山口 派出小部队勇吃鱼身,-,-,-,1991/1/29,无实际控制人,其他,β高股息低波动 适合防御,行情酝酿中,-,房地产产业链,-,行业成熟稳定,传统行业,耐用品,-
000004.SZ,000004,*ST国华,小盘股,信息技术,软件开发,通用软件,深圳,3.76,主板,-,-,-,-,1990/12/1,李映彤,民营企业,-,表现超预期,国产替代,-,-,政策支持,传统行业,-,-
000006.SZ,000006,深振业Ａ,大盘股,NA,NA,NA,深圳,9.57,主板,-,-,-,-,1992/4/27,深圳市人民政府国有资产监督管理委员会,地方国有企业,β高股息低波动 适合防御,表现超预期,-,-,-,行业成熟稳定,传统行业,耐用品,-
000007.SZ,000007,全新好,小盘股,房地产,房地产管理与服务,房地产管理,深圳,13.59,主板,火山口 派出小部队勇吃鱼身,连续多天小涨 龟壳战术吃鱼头,-,-,1992/4/13,无实际控制人,其他,-,表现超预期,-,实体经济,-,行业成熟稳定,传统行业,-,-
000008.SZ,000008,神州高铁,中盘股,工业,交通运输设备,城轨铁路,北京,2.71,主板,火山口 派出小部队勇吃鱼身,-,-,-,1992/5/7,国家开发投资集团有限公司,中央企业,β高股息低波动 适合防御,行情酝酿中,-,-,制造业(工业母机),行业成熟稳定,传统行业,耐用品,-
000009.SZ,000009,中国宝安,中盘股,工业,储能设备,电池部件及材料,深圳,8.98,主板,火山口 派出小部队勇吃鱼身,-,-,-,1991/6/25,无实际控制人,其他,β高股息低波动 适合防御,行情酝酿中,新科技,特高压电力产业链,-,政策支持,高新技术产业,耐用品,-
000010.SZ,000010,美丽生态,中盘股,工业,建筑与工程,基础设施建设,深圳,4.07,主板,-,-,有涨停 火山口战法吃鱼身,-,1995/10/27,无实际控制人,其他,β高股息低波动 适合防御,表现超预期,-,房地产产业链,-,行业成熟稳定,传统行业,耐用品,-
000011.SZ,000011,深物业A,小盘股,房地产,房地产管理与服务,房地产管理,深圳,8.51,主板,火山口 派出小部队勇吃鱼身,-,-,-,1992/3/30,深圳市人民政府国有资产监督管理委员会,地方国有企业,-,行情酝酿中,-,房地产产业链,-,行业成熟稳定,传统行业,耐用品,-
000012.SZ,000012,南玻Ａ,迷你盘,NA,NA,NA,深圳,4.53,主板,火山口 派出小部队勇吃鱼身,-,-,-,1992/2/28,无实际控制人,其他,-,行情酝酿中,-,-,化工,行业成熟稳定,传统行业,耐用品,-
000014.SZ,000014,沙河股份,小盘股,房地产,房地产开发与园区,房地产开发,深圳,13.41,主板,-,-,-,-,1992/6/2,深圳市人民政府国有资产监督管理委员会,地方国有企业,-,行情酝酿中,-,房地产产业链,-,行业成熟稳定,传统行业,耐用品,-
000016.SZ,000016,深康佳Ａ,中盘股,NA,NA,NA,深圳,3.18,主板,-,-,-,-,1992/3/27,国务院国有资产监督管理委员会,中央企业,β高股息低波动 适合防御,行情酝酿中,大消费,-,-,行业成熟稳定,传统行业,耐用品,-
000017.SZ,000017,深中华A,迷你盘,可选消费,珠宝与奢侈品,珠宝与奢侈品,深圳,6.77,主板,火山口 派出小部队勇吃鱼身,-,-,-,1992/3/31,王胜洪,民营企业,-,行情酝酿中,大消费,-,-,行业成熟稳定,传统行业,耐用品,-
000019.SZ,000019,深粮控股,中盘股,工业,商业服务与用品,贸易商,深圳,7.58,主板,-,-,-,-,1992/10/12,深圳市人民政府国有资产监督管理委员会,地方国有企业,β高股息低波动 适合防御,表现超预期,-,-,粮食,行业成熟稳定,传统行业,消耗品,-
000020.SZ,000020,深华发Ａ,小盘股,NA,NA,NA,深圳,15.78,主板,火山口 派出小部队勇吃鱼身,-,-,-,1992/4/28,李中秋,外资,-,行情酝酿中,新科技,-,-,政策支持,高新技术产业,-,-
000021.SZ,000021,深科技,大盘股,信息技术,电子终端及组件,安防设备及其他,深圳,29,主板,-,-,-,-,1994/2/2,国务院国有资产监督管理委员会,中央企业,β高股息低波动 适合防御,行情酝酿中,新科技,-,-,政策支持,高新技术产业,-,-
000025.SZ,000025,特力Ａ,迷你盘,NA,NA,NA,深圳,16.18,主板,火山口 派出小部队勇吃鱼身,连续多天小涨 龟壳战术吃鱼头,-,-,1993/6/21,深圳市人民政府国有资产监督管理委员会,地方国有企业,-,行情酝酿中,-,实体经济,-,行业成熟稳定,传统行业,-,-
000026.SZ,000026,飞亚达,中盘股,可选消费,珠宝与奢侈品,珠宝与奢侈品,深圳,17.62,主板,-,-,有涨停 火山口战法吃鱼身,高人气,1993/6/3,国务院国有资产监督管理委员会,中央企业,β高股息低波动 适合防御,表现超预期,大消费,-,-,行业成熟稳定,传统行业,耐用品,-
000027.SZ,000027,深圳能源,中盘股,公用事业,电力及电网,火电,深圳,6.68,主板,火山口 派出小部队勇吃鱼身,连续多天小涨 龟壳战术吃鱼头,-,-,1993/9/3,深圳市人民政府国有资产监督管理委员会,地方国有企业,β高股息低波动 适合防御,行情酝酿中,-,特高压电力产业链,-,行业成熟稳定,传统行业,-,-
000028.SZ,000028,国药一致,小盘股,医药卫生,医疗商业与服务,医药商业,深圳,26.05,主板,-,-,-,-,1993/8/9,国务院国有资产监督管理委员会,中央企业,-,行情酝酿中,-,实体经济,-,政策支持,传统行业,消耗品,-
000029.SZ,000029,深深房Ａ,小盘股,NA,NA,NA,深圳,20.37,主板,-,-,-,-,1993/9/15,深圳市人民政府国有资产监督管理委员会,地方国有企业,-,行情酝酿中,-,-,-,行业成熟稳定,传统行业,耐用品,-
000030.SZ,000030,富奥股份,大盘股,可选消费,汽车零部件与轮胎,汽车系统部件,吉林,5.5,主板,火山口 派出小部队勇吃鱼身,-,-,-,1993/9/29,吉林省人民政府国有资产监督管理委员会,地方国有企业,β高股息低波动 适合防御,表现超预期,-,智能汽车产业链,-,政策支持,传统行业,消耗品,-
000031.SZ,000031,大悦城,小盘股,房地产,房地产开发与园区,房地产开发,深圳,2.92,主板,火山口 派出小部队勇吃鱼身,-,-,-,1993/10/8,国务院国有资产监督管理委员会,中央企业,-,行情酝酿中,-,房地产产业链,-,行业成熟稳定,传统行业,耐用品,-
000032.SZ,000032,深桑达Ａ,大盘股,NA,NA,NA,深圳,18.55,主板,-,-,-,-,1993/10/28,国务院国有资产监督管理委员会,中央企业,β高股息低波动 适合防御,行情酝酿中,-,房地产产业链,-,行业成熟稳定,传统行业,耐用品,-
000034.SZ,000034,神州数码,大盘股,可选消费,专营零售,专营零售,深圳,36.69,主板,火山口 派出小部队勇吃鱼身,-,-,-,1994/5/9,郭为,民营企业,β高股息低波动 适合防御,行情酝酿中,国产替代,-,-,政策支持,传统行业,-,-
000035.SZ,000035,中国天楹,大盘股,工业,污染治理,固废处理,江苏,7.1,主板,火山口 派出小部队勇吃鱼身,-,-,-,1994/4/8,严圣军,民营企业,β高股息低波动 适合防御,表现超预期,-,-,民生,行业成熟稳定,传统行业,-,-
