ts_code,symbol,name,area,industry,cnspell,market,list_date,act_name,act_ent_type
000001.SZ,000001,平安银行,深圳,银行,PAYH,主板,19910403,无实际控制人,其他
000002.SZ,000002,万科Ａ,深圳,全国地产,WKA,主板,19910129,无实际控制人,其他
000004.SZ,000004,*ST国华,深圳,软件服务,*STGH,主板,19901201,李映彤,民营企业
000006.SZ,000006,深振业Ａ,深圳,区域地产,SZYA,主板,19920427,深圳市人民政府国有资产监督管理委员会,地方国有企业
000007.SZ,000007,全新好,深圳,其他商业,QXH,主板,19920413,无实际控制人,其他
000008.SZ,000008,神州高铁,北京,运输设备,SZGT,主板,19920507,国家开发投资集团有限公司,中央企业
000009.SZ,000009,中国宝安,深圳,电气设备,ZGBA,主板,19910625,无实际控制人,其他
000010.SZ,000010,美丽生态,深圳,建筑工程,MLST,主板,19951027,无实际控制人,其他
000011.SZ,000011,深物业A,深圳,房产服务,SWYA,主板,19920330,深圳市人民政府国有资产监督管理委员会,地方国有企业
000012.SZ,000012,南玻Ａ,深圳,玻璃,NBA,主板,19920228,无实际控制人,其他
000014.SZ,000014,沙河股份,深圳,全国地产,SHGF,主板,19920602,深圳市人民政府国有资产监督管理委员会,地方国有企业
000016.SZ,000016,深康佳Ａ,深圳,家用电器,SKJA,主板,19920327,国务院国有资产监督管理委员会,中央企业
000017.SZ,000017,深中华A,深圳,服饰,SZHA,主板,19920331,王胜洪,民营企业
000019.SZ,000019,深粮控股,深圳,农业综合,SLKG,主板,19921012,深圳市人民政府国有资产监督管理委员会,地方国有企业
000020.SZ,000020,深华发Ａ,深圳,元器件,SHFA,主板,19920428,李中秋,外资
000021.SZ,000021,深科技,深圳,元器件,SKJ,主板,19940202,国务院国有资产监督管理委员会,中央企业
001872.SZ,001872,招商港口,深圳,港口,ZSGK,主板,19930505,国务院国有资产监督管理委员会,中央企业
000025.SZ,000025,特力Ａ,深圳,综合类,TLA,主板,19930621,深圳市人民政府国有资产监督管理委员会,地方国有企业
000026.SZ,000026,飞亚达,深圳,服饰,FYD,主板,19930603,国务院国有资产监督管理委员会,中央企业
000027.SZ,000027,深圳能源,深圳,火力发电,SZNY,主板,19930903,深圳市人民政府国有资产监督管理委员会,地方国有企业
000028.SZ,000028,国药一致,深圳,医药商业,GYYZ,主板,19930809,国务院国有资产监督管理委员会,中央企业
000029.SZ,000029,深深房Ａ,深圳,区域地产,SSFA,主板,19930915,深圳市人民政府国有资产监督管理委员会,地方国有企业
000030.SZ,000030,富奥股份,吉林,汽车配件,FAGF,主板,19930929,吉林省人民政府国有资产监督管理委员会,地方国有企业
000031.SZ,000031,大悦城,深圳,全国地产,DYC,主板,19931008,国务院国有资产监督管理委员会,中央企业
000032.SZ,000032,深桑达Ａ,深圳,建筑工程,SSDA,主板,19931028,国务院国有资产监督管理委员会,中央企业
000034.SZ,000034,神州数码,深圳,软件服务,SZSM,主板,19940509,郭为,民营企业
000035.SZ,000035,中国天楹,江苏,环境保护,ZGTY,主板,19940408,严圣军,民营企业
000036.SZ,000036,华联控股,深圳,全国地产,HLKG,主板,19940617,龚泽民,民营企业
000037.SZ,000037,深南电A,深圳,火力发电,SNDA,主板,19940701,无实际控制人,其他
000039.SZ,000039,中集集团,深圳,运输设备,ZJJT,主板,19940408,无实际控制人,其他
000042.SZ,000042,中洲控股,深圳,全国地产,ZZKG,主板,19940921,黄光苗,外资
001914.SZ,001914,招商积余,深圳,房产服务,ZSJY,主板,19940928,国务院国有资产监督管理委员会,中央企业
000045.SZ,000045,深纺织Ａ,深圳,元器件,SFZA,主板,19940815,深圳市人民政府国有资产监督管理委员会,地方国有企业
000048.SZ,000048,京基智农,深圳,农业综合,JJZN,主板,19941101,陈华,民营企业
000049.SZ,000049,德赛电池,深圳,电气设备,DSDC,主板,19950320,无实际控制人,其他
000050.SZ,000050,深天马Ａ,深圳,元器件,STMA,主板,19950315,国务院国有资产监督管理委员会,中央企业
000055.SZ,000055,方大集团,深圳,其他建材,FDJT,主板,19960415,熊建明,民营企业
000056.SZ,000056,皇庭国际,深圳,其他商业,HTGJ,主板,19960708,郑康豪,民营企业
000058.SZ,000058,深赛格,深圳,商品城,SSG,主板,19961226,深圳市人民政府国有资产监督管理委员会,地方国有企业
000059.SZ,000059,华锦股份,辽宁,石油加工,HJGF,主板,19970130,国务院国有资产监督管理委员会,中央企业
000060.SZ,000060,中金岭南,深圳,铅锌,ZJLN,主板,19970123,广东省人民政府国有资产监督管理委员会,地方国有企业
000061.SZ,000061,农产品,深圳,农业综合,NCP,主板,19970110,深圳市人民政府国有资产监督管理委员会,地方国有企业
000062.SZ,000062,深圳华强,深圳,元器件,SZHQ,主板,19970130,梁光伟,民营企业
000063.SZ,000063,中兴通讯,深圳,通信设备,ZXTX,主板,19971118,无实际控制人,其他
000065.SZ,000065,北方国际,北京,建筑工程,BFGJ,主板,19980605,国务院国有资产监督管理委员会,中央企业
000066.SZ,000066,中国长城,深圳,IT设备,ZGCC,主板,19970626,中国电子信息产业集团有限公司,中央企业
000068.SZ,000068,华控赛格,深圳,环境保护,HKSG,主板,19970611,山西省人民政府国有资产监督管理委员会,地方国有企业
000069.SZ,000069,华侨城Ａ,深圳,全国地产,HQCA,主板,19970910,国务院国有资产监督管理委员会,中央企业
000070.SZ,000070,特发信息,深圳,通信设备,TFXX,主板,20000511,深圳市人民政府国有资产监督管理委员会,地方国有企业
000078.SZ,000078,海王生物,深圳,医药商业,HWSW,主板,19981218,张思民,民营企业
000088.SZ,000088,盐田港,深圳,港口,YTG,主板,19970728,深圳市人民政府国有资产监督管理委员会,地方国有企业
000089.SZ,000089,深圳机场,深圳,机场,SZJC,主板,19980420,深圳市人民政府国有资产监督管理委员会,地方国有企业
000090.SZ,000090,天健集团,深圳,建筑工程,TJJT,主板,19990721,深圳市人民政府国有资产监督管理委员会,地方国有企业
000096.SZ,000096,广聚能源,深圳,石油贸易,GJNY,主板,20000724,黑龙江省鹤岗市南山区人民政府国有资产监督管理委员会,地方国有企业
000099.SZ,000099,中信海直,深圳,空运,ZXHZ,主板,20000731,中国中信集团有限公司,中央企业
000100.SZ,000100,TCL科技,广东,元器件,TCLKJ,主板,20040130,无实际控制人,其他
000151.SZ,000151,中成股份,北京,商贸代理,ZCGF,主板,20000906,国务院国有资产监督管理委员会,中央企业
000153.SZ,000153,丰原药业,安徽,化学制药,FYYY,主板,20000920,李荣杰,民营企业
000155.SZ,000155,川能动力,四川,新型电力,CNDL,主板,20000926,四川省政府国有资产监督管理委员会,地方国有企业
000156.SZ,000156,华数传媒,浙江,影视音像,HSCM,主板,20000906,杭州市财政局,地方国有企业
000157.SZ,000157,中联重科,湖南,工程机械,ZLZK,主板,20001012,无实际控制人,其他
000158.SZ,000158,常山北明,河北,软件服务,CSBM,主板,20000724,石家庄市人民政府国有资产监督管理委员会,地方国有企业
000159.SZ,000159,国际实业,新疆,石油贸易,GJSY,主板,20000926,冯现啁,民营企业
000301.SZ,000301,东方盛虹,江苏,化纤,DFSH,主板,20000529,缪汉根,民营企业
000400.SZ,000400,许继电气,河南,电气设备,XJDQ,主板,19970418,国务院国有资产监督管理委员会,中央企业
000401.SZ,000401,金隅冀东,河北,水泥,JYJD,主板,19960614,北京市人民政府国有资产监督管理委员会,地方国有企业
000402.SZ,000402,金融街,北京,全国地产,JRJ,主板,19960626,北京市西城区人民政府国有资产监督管理委员会,地方国有企业
000403.SZ,000403,派林生物,山西,生物制药,PLSW,主板,19960628,陕西省人民政府国有资产监督管理委员会,地方国有企业
000404.SZ,000404,长虹华意,江西,家用电器,CHHY,主板,19960619,绵阳市国有资产监督管理委员会,地方国有企业
000407.SZ,000407,胜利股份,山东,供气供热,SLGF,主板,19960703,许铁良,外资
000408.SZ,000408,藏格矿业,青海,农药化肥,ZGKY,主板,19960628,上杭县财政局,地方国有企业
000409.SZ,000409,云鼎科技,山东,软件服务,YDKJ,主板,19960627,山东省人民政府,地方国有企业
000410.SZ,000410,沈阳机床,辽宁,机床制造,SYJC,主板,19960718,国务院国有资产监督管理委员会,中央企业
000411.SZ,000411,英特集团,浙江,医药商业,YTJT,主板,19960716,浙江省人民政府国有资产监督管理委员会,地方国有企业
000415.SZ,000415,渤海租赁,新疆,多元金融,BHZL,主板,19960716,无实际控制人,其他
000417.SZ,000417,合百集团,安徽,百货,HBJT,主板,19960812,合肥市人民政府国有资产监督管理委员会,地方国有企业
000419.SZ,000419,通程控股,湖南,百货,TCKG,主板,19960816,长沙市人民政府国有资产监督管理委员会,地方国有企业
000420.SZ,000420,吉林化纤,吉林,化纤,JLHX,主板,19960802,吉林省吉林市人民政府国有资产监督管理委员会,地方国有企业
000421.SZ,000421,南京公用,江苏,供气供热,NJGY,主板,19960806,南京市人民政府国有资产监督管理委员会,地方国有企业
000422.SZ,000422,湖北宜化,湖北,农药化肥,HBYH,主板,19960815,宜昌市人民政府国有资产监督管理委员会,地方国有企业
000423.SZ,000423,东阿阿胶,山东,中成药,DEEJ,主板,19960729,国务院国有资产监督管理委员会,中央企业
000425.SZ,000425,徐工机械,江苏,工程机械,XGJX,主板,19960828,徐州市人民政府,地方国有企业
000426.SZ,000426,兴业银锡,内蒙,铅锌,XYYX,主板,19960828,吉兴业,民营企业
000428.SZ,000428,华天酒店,湖南,酒店餐饮,HTJD,主板,19960808,湖南省人民政府国有资产监督管理委员会,地方国有企业
000429.SZ,000429,粤高速Ａ,广东,路桥,YGSA,主板,19980220,广东省人民政府国有资产监督管理委员会,地方国有企业
000430.SZ,000430,ST张家界,湖南,旅游景点,STZJJ,主板,19960829,张家界市人民政府国有资产监督管理委员会,地方国有企业
000488.SZ,000488,ST晨鸣,山东,造纸,STCM,主板,20001120,寿光市地方金融监督管理局(寿光市国有资产监督管理局),地方国有企业
000498.SZ,000498,山东路桥,山东,建筑工程,SDLQ,主板,19970609,山东省人民政府国有资产监督管理委员会,地方国有企业
000501.SZ,000501,武商集团,湖北,百货,WSJT,主板,19921120,武汉市人民政府国有资产监督管理委员会,地方国有企业
000503.SZ,000503,国新健康,山东,软件服务,GXJK,主板,19921130,国务院国有资产监督管理委员会,中央企业
000504.SZ,000504,*ST生物,湖南,医疗保健,*STSW,主板,19921208,湖南省人民政府,地方国有企业
000505.SZ,000505,京粮控股,海南,食品,JLKG,主板,19921221,北京市人民政府国有资产监督管理委员会,地方国有企业
000506.SZ,000506,招金黄金,山东,黄金,ZJHJ,主板,19930312,招远市人民政府,地方国有企业
000507.SZ,000507,珠海港,广东,新型电力,ZHG,主板,19930326,珠海市人民政府国有资产监督管理委员会,地方国有企业
000509.SZ,000509,华塑控股,四川,元器件,HSKG,主板,19930507,湖北省人民政府,地方国有企业
000510.SZ,000510,新金路,四川,化工原料,XJL,主板,19930507,刘江东,民营企业
000513.SZ,000513,丽珠集团,广东,化学制药,LZJT,主板,19931028,朱保国,民营企业
000514.SZ,000514,渝开发,重庆,区域地产,YKF,主板,19930712,重庆市国有资产监督管理委员会,地方国有企业
000516.SZ,000516,国际医学,陕西,医疗保健,GJYX,主板,19930809,刘建申,民营企业
000517.SZ,000517,荣安地产,浙江,区域地产,RADC,主板,19930806,王久芳,民营企业
000518.SZ,000518,*ST四环,江苏,生物制药,*STSH,主板,19930908,邱为碧,民营企业
000519.SZ,000519,中兵红箭,河南,专用机械,ZBHJ,主板,19931008,国务院国有资产监督管理委员会,中央企业
000520.SZ,000520,凤凰航运,湖北,水运,FHHY,主板,19931025,李建明,民营企业
000521.SZ,000521,长虹美菱,安徽,家用电器,CHML,主板,19931018,绵阳市国有资产监督管理委员会,地方国有企业
000523.SZ,000523,红棉股份,广东,食品,HMGF,主板,19931108,广州市人民政府国有资产监督管理委员会,地方国有企业
000524.SZ,000524,岭南控股,广东,旅游服务,LNKG,主板,19931118,广州市人民政府国有资产监督管理委员会,地方国有企业
000525.SZ,000525,红太阳,江苏,农药化肥,HTY,主板,19931028,曲靖高新技术产业开发区管理委员会,地方国有企业
000526.SZ,000526,学大教育,福建,文教休闲,XDJY,主板,19931101,金鑫,民营企业
000528.SZ,000528,柳工,广西,工程机械,LG,主板,19931118,广西壮族自治区人民政府国有资产监督管理委员会,地方国有企业
000529.SZ,000529,广弘控股,广东,食品,GHKG,主板,19931118,广东省出版集团有限公司,地方国有企业
000530.SZ,000530,冰山冷热,辽宁,机械基件,BSLR,主板,19931208,无实际控制人,其他
000531.SZ,000531,穗恒运Ａ,广东,火力发电,SHYA,主板,19940106,广州开发区管理委员会,地方国有企业
000532.SZ,000532,华金资本,广东,多元金融,HJZB,主板,19940103,珠海市人民政府国有资产监督管理委员会,地方国有企业
000533.SZ,000533,顺钠股份,广东,电气设备,SNGF,主板,19940103,无实际控制人,其他
000534.SZ,000534,万泽股份,广东,生物制药,WZGF,主板,19940110,林伟光,民营企业
000536.SZ,000536,华映科技,福建,元器件,HYKJ,主板,19931126,福建省人民政府国有资产监督管理委员会,地方国有企业
000537.SZ,000537,绿发电力,天津,新型电力,LFDL,主板,19931210,国务院国有资产监督管理委员会,中央企业
000538.SZ,000538,云南白药,云南,中成药,YNBY,主板,19931215,无实际控制人,其他
000539.SZ,000539,粤电力Ａ,广东,火力发电,YDLA,主板,19931126,广东省人民政府国有资产监督管理委员会,地方国有企业
000541.SZ,000541,佛山照明,广东,家用电器,FSZM,主板,19931123,广东省人民政府国有资产监督管理委员会,地方国有企业
000543.SZ,000543,皖能电力,安徽,火力发电,WNDL,主板,19931220,安徽省人民政府国有资产监督管理委员会,地方国有企业
000544.SZ,000544,中原环保,河南,环境保护,ZYHB,主板,19931208,郑州市人民政府,地方国有企业
000545.SZ,000545,金浦钛业,吉林,化工原料,JPTY,主板,19931215,郭金东,民营企业
000546.SZ,000546,金圆股份,吉林,环境保护,JYGF,主板,19931215,赵璧生,民营企业
000547.SZ,000547,航天发展,福建,通信设备,HTFZ,主板,19931130,国务院国有资产监督管理委员会,中央企业
000548.SZ,000548,湖南投资,湖南,路桥,HNTZ,主板,19931220,长沙市人民政府,地方国有企业
000550.SZ,000550,江铃汽车,江西,汽车整车,JLQC,主板,19931201,南昌市国有资产监督管理委员会,地方国有企业
000551.SZ,000551,创元科技,江苏,专用机械,CYKJ,主板,19940106,苏州市人民政府国有资产监督管理委员会,地方国有企业
000552.SZ,000552,甘肃能化,甘肃,煤炭开采,GSNH,主板,19940106,甘肃省人民政府国有资产监督管理委员会,地方国有企业
000553.SZ,000553,安道麦A,湖北,农药化肥,ADMA,主板,19931203,国务院国有资产监督管理委员会,中央企业
000554.SZ,000554,泰山石油,山东,石油贸易,TSSY,主板,19931215,国务院国有资产监督管理委员会,中央企业
000555.SZ,000555,神州信息,深圳,软件服务,SZXX,主板,19940408,无实际控制人,其他
000557.SZ,000557,西部创业,宁夏,铁路,XBCY,主板,19940617,宁夏回族自治区人民政府,地方国有企业
000558.SZ,000558,天府文旅,四川,旅游景点,TFWL,主板,19940509,成都市国有资产监督管理委员会,地方国有企业
