date,贵州茅台_600519,寒武纪_688256,海光信息_688041,上海机场_600009,中际旭创_300308,招商银行_600036,工业富联_601138,海天味业_603288,宁德时代_300750,中信证券_600030
2023-05-16,1703.29,184.51,74.17,49.93,76.82,34.82,14.78,66.49,239,21.8
2023-05-17,1701,187.54,76.83,49.48,79.01,34.5,15.55,64.76,240,21.66
2023-05-18,1691,196.81,81.33,49.2,94.81,34.45,16.35,64.38,232.4,21.67
2023-05-19,1699.5,195.3,80.9,49.37,93.55,33.95,16.16,64.71,230,21.29
2023-05-22,1746,188.65,78.01,50.29,89.89,34.2,15.41,66.32,230.3,21.3
2023-05-23,1724.55,184.11,77.27,48.94,87.2,33.6,15.23,65.31,225.42,20.85
2023-05-24,1710.9,182,76.83,47.29,87.67,32.93,14.82,64.4,225.25,20.28
2023-05-25,1701,194.5,81,47.37,93.18,32.42,16.3,63.98,224.09,20.32
2023-05-26,1690.56,224,86.51,47.28,91.45,32.74,16.79,64.12,220,20.37
2023-05-29,1689,219.6,86.37,47.11,96,32.69,17.9,63.27,217.06,20.35
2023-05-30,1668.29,234.8,90.92,46.7,109,32.64,18.03,61.93,224.99,20.36
2023-05-31,1628.9,254.19,92.73,46.6,107.5,32.3,18.05,60.5,221.17,20.05
2023-06-01,1635.92,237.01,87.3,45.12,108.04,32.06,17.92,50.12,222.9,20.1
2023-06-02,1670.6,228.7,83.2,45.99,106.7,33.07,17.83,50.83,228.44,20.19
2023-06-05,1665,230.32,83.5,45.8,111.2,33.04,18.93,49.72,219.8,20
2023-06-06,1666.99,223.25,79.39,45.19,107.31,33.07,18.22,49.45,219.28,19.83
2023-06-07,1650.9,221.2,79.88,45.84,108.11,33.3,18.03,49.3,207.3,19.87
2023-06-08,1668,221.01,77.25,46.63,106.72,34.08,17.85,49.28,208.01,20.2
2023-06-09,1666,226.78,77.81,46.97,115.2,33.74,19.64,48.75,212.04,20.18
2023-06-12,1696,220.21,78.39,46.91,121.5,33.73,21.35,49.42,211.95,19.85
2023-06-13,1699,232.9,80.78,46.81,121.55,33.73,22.02,50.01,213.1,19.98
2023-06-14,1726.88,224.8,81.48,46.94,129.55,33.39,22.79,50.25,213.4,20
2023-06-15,1755,211,75.78,47.62,134.79,33.72,22.64,51.08,230.88,20.3
2023-06-16,1797.69,222.85,77.08,47.78,155,33.93,24.06,51.05,231.1,20.39
2023-06-19,1744,239.1,80.01,47.83,160.01,33.58,26.46,50.41,227.88,20.15
2023-06-20,1743.46,267,83.97,47.22,170,33.19,26.03,50.22,228,20.06
2023-06-21,1735.83,230.98,76.4,47.29,159.9,33.17,24.5,49.65,224.91,19.85
2023-06-26,1709,202.5,69.44,45.74,148,32.61,23.09,48.65,225.17,19.29
2023-06-27,1711.05,196.69,68.72,46.4,147.2,32.82,23.01,48,223.47,19.49
2023-06-28,1728.38,202.95,70,46.36,141.98,33.05,22.98,47.97,224.5,19.5
2023-06-29,1713.71,193,68.01,45.42,148.01,32.68,23.8,47.1,222.5,19.44
2023-06-30,1691,188,68.27,45.42,147.45,32.76,25.2,46.85,228.79,19.78
2023-07-03,1724.1,192.54,69.6,47.04,146,33.72,24.37,48.27,229.88,20.24
2023-07-04,1730.6,202.41,71.15,47.34,146.52,33.51,24.58,48.87,229.25,20.28
2023-07-05,1715.38,200.8,69.29,46.92,138.96,33.03,23.86,47.63,227.51,20.15
2023-07-06,1702.98,206.82,69.5,46.28,139.8,32.58,23.88,46.7,224.85,20.05
2023-07-07,1690.03,195.43,67.05,46.5,146.99,32.31,23.66,45.79,222.25,20.13
2023-07-10,1700.9,196.96,70.35,47.08,143.6,32.45,23.8,46.03,228.8,20.12
2023-07-11,1710,210.3,77.8,47.33,148.5,32.71,24.24,45.09,229.09,20.24
2023-07-12,1713.8,196.29,74.94,47,138.79,33.2,22.53,44.26,226.99,20.08
2023-07-13,1738.4,200.1,76.94,46.92,154.2,31.85,24.78,45.35,230,20.47
2023-07-14,1753,206.01,78.4,45.88,155.39,31.93,27.26,45.1,228.28,20.5
2023-07-17,1729.97,200.2,76.1,46.02,157.71,31.65,26.11,45,225.65,20.28
2023-07-18,1722.8,185,73.16,45.62,151.29,31.46,25.53,44.45,225.5,20.29
